id,title,year,description,genres,rating,num_votes,adult
920728,We Want Now,2016,"A man who protects the island and his woman, Soo-hee, live on a remote island that is nothing more than an uninhabited island. And Bok-soon, who lost her mind after being abandoned by the man she loved. This is an island where only three people live, even if they die. Then one day, a photographer who seems to be holding something secret comes to the island. However, the man who guards the island misunderstands the visitor and kills him because of it. Bok-soon, who loved the dead photographer, commits suicide upon seeing the photographer's death. A man who has gone mad after killing someone hears a story from Soo-hee, who lives with him, and only later finds out all the secrets...",['Romance'],0.0,0,False
651114,Underwater,2016,"A susceptible teenager, in trying to escape the tumult of his home, drowns himself in alcohol, drugs, and parties. Based on a true story.",['Drama'],0.0,0,False
392144,Calendar Girl,2016,"In my imagination, she came to me.  Jong-moo is happy the calendar model Na-yeong is there smiling for him although they can't be together. One day, the girl of his dreams moves right next door to him and Jong-moo's boring life turns into excitement. Jong-moo learns about how she suffers behind the fanciness and he puts everything he has on the line to comfort her. Na-yeong is caught between his innocence and her work. Meanwhile, Jong-moo's friend Yong-jin dreams of a hot night with his cute girlfriend Ji-hee but every time he tries he stands on the verge of death and in the end Ji-hee confesses something to him...  The two couple put their lives on the line for love.","['Romance', 'Drama']",6.2,6,False
381890,The Mermaid,2016,"When Xuan's real estate project threatens the home of mermaids, Shan is sent to stop him. When they fall in love, he is encouraged to cancel the project. However, he must save them from bigger danger.","['Comedy', 'Fantasy', 'Romance']",6.541,486,False
482036,Nice Sister-In-Law,2016,"""Trust me tonight""  Min-ho is preparing to get a job and is spending some time in his parents' house. However, his parents aren't home and only his young sister-in-law is there. His brother Hyeon-soo had left the house after fighting with his wife. Min-ho can't help but feel attracted towards his young and appealing sister-in-law.","['Romance', 'Drama']",4.7,3,False
345911,Lights Out,2016,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.",['Horror'],6.4,4109,True
408866,RE:BORN,2016,A former special forces operative struggling to contain the destructive impulses of his past goes on a rampage against a squad of ruthless assassins.,"['Action', 'Crime']",7.194,260,True
408349,My Neighbor's Wife,2016,"Yoon-jeong asks her mother to take care of her daughter and then she leaves on a secret romantic trip with a man in her neighborhood while her husband is away from home for a business trip. The man and the woman on their secret two night three day trip forget about anything about law, morals, or common sense. They follow their instinct to satisfy the desire for each other’s body all day long. The endless desire would not drive away from her body.","['Romance', 'Drama']",4.4,7,False
258230,A Monster Calls,2016,12-year-old Conor encounters an ancient tree monster who proceeds to help him cope with his mother's terminal illness and being bullied in school.,"['Fantasy', 'Adventure', 'Family']",7.293,3550,False
262504,Allegiant,2016,Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.,"['Adventure', 'Science Fiction', 'Action', 'Mystery']",6.099,6960,False
391757,Never Back Down: No Surrender,2016,"Picking up after the events of Never Back Down 2, former MMA champion Case Walker is on the comeback trail to become champion once again.","['Drama', 'Action']",7.072,508,False
340666,Nocturnal Animals,2016,"Susan Morrow receives a book manuscript from her ex-husband – a man she left 20 years earlier – asking for her opinion of his writing. As she reads, she is drawn into the fictional life of Tony Hastings, a mathematics professor whose family vacation turns violent.","['Drama', 'Thriller']",7.414,8279,True
384345,Doraemon: Nobita and the Birth of Japan,2016,"Doraemon and his friends travel to ancient Japan where they meet Kukuru. When Kukuru tells them that his tribe has been enslaved by Gigazombie, Doraemon decides to help him.","['Animation', 'Adventure', 'Fantasy', 'Science Fiction', 'Family']",6.831,74,False
